state	year	month	date	pollster	pollster_safe	purchaser	purchaser_safe
baden-wuerttemberg	2017	3	09.03.2017	Infratestdimap	infratestdimap	SWR,Stuttgarter Zeitung	swr_stuttgarterzeitung
baden-wuerttemberg	2016	9	15.09.2016	Infratestdimap	infratestdimap	SWR,Stuttgarter Zeitung	swr_stuttgarterzeitung
baden-wuerttemberg	2016	3	10.03.2016	ForschungsgruppeWahlen	forschungsgruppewahlen	ZDF	zdf
baden-wuerttemberg	2016	3	10.03.2016	YouGov	yougov	YouGov	yougov
baden-wuerttemberg	2016	3	09.03.2016	Forsa	forsa	RTL	rtl
baden-wuerttemberg	2016	3	07.03.2016	INSA	insa	BILD	bild
baden-wuerttemberg	2016	3	04.03.2016	ForschungsgruppeWahlen	forschungsgruppewahlen	ZDF	zdf
baden-wuerttemberg	2016	3	03.03.2016	Infratestdimap	infratestdimap	ARD	ard
baden-wuerttemberg	2016	2	28.02.2016	INSA	insa	BILD	bild
baden-wuerttemberg	2016	2	26.02.2016	Forsa	forsa	 EZ,  LKZ, PZ,  GEA	ez_lkz_pz_gea
baden-wuerttemberg	2016	2	22.02.2016	INSA	insa	BILD	bild
baden-wuerttemberg	2016	2	18.02.2016	Infratestdimap	infratestdimap	SWR,Stuttgarter Zeitung	swr_stuttgarterzeitung
baden-wuerttemberg	2016	2	12.02.2016	CustomerResearch 42	customerresearch42	SchwäbischeZeitung	schwaebischezeitung
baden-wuerttemberg	2016	2	05.02.2016	INSA	insa	BILD	bild
baden-wuerttemberg	2016	1	21.01.2016	ForschungsgruppeWahlen	forschungsgruppewahlen	ZDF	zdf
baden-wuerttemberg	2016	1	20.01.2016	INSA	insa	CDU-LV	cdulv
baden-wuerttemberg	2016	1	14.01.2016	Infratestdimap	infratestdimap	SWR,Stuttgarter Zeitung	swr_stuttgarterzeitung
baden-wuerttemberg	2015	12	15.12.2015	Forsa	forsa	stern	stern
baden-wuerttemberg	2015	12	03.12.2015	Infratestdimap	infratestdimap	SWR,Stuttgarter Zeitung	swr_stuttgarterzeitung
baden-wuerttemberg	2015	11	20.11.2015	ForschungsgruppeWahlen	forschungsgruppewahlen	ZDF	zdf
baden-wuerttemberg	2015	10	09.10.2015	INSA	insa	BILD	bild
baden-wuerttemberg	2015	9	24.09.2015	Infratestdimap	infratestdimap	SWR,Stuttgarter Zeitung	swr_stuttgarterzeitung
baden-wuerttemberg	2015	9	11.09.2015	Allensbach	allensbach	Allensbach	allensbach
baden-wuerttemberg	2015	5	12.05.2015	Forsa	forsa	stern	stern
baden-wuerttemberg	2015	3	26.03.2015	Infratestdimap	infratestdimap	SWR,Stuttgarter Zeitung	swr_stuttgarterzeitung
baden-wuerttemberg	2014	11	13.11.2014	Infratestdimap	infratestdimap	SWR,Stuttgarter Zeitung	swr_stuttgarterzeitung
baden-wuerttemberg	2014	9	17.09.2014	TNS Infratest	tnsinfratest	SPD-LTFraktion	spdltfraktion
baden-wuerttemberg	2014	5	13.05.2014	Infratestdimap	infratestdimap	SWR	swr
baden-wuerttemberg	2013	11	07.11.2013	Infratestdimap	infratestdimap	SWR,Stuttgarter Zeitung	swr_stuttgarterzeitung
baden-wuerttemberg	2013	5	16.05.2013	Infratestdimap	infratestdimap	SWR,Stuttgarter Zeitung	swr_stuttgarterzeitung
baden-wuerttemberg	2012	5	10.05.2012	Infratestdimap	infratestdimap	SWR,Stuttgarter Zeitung	swr_stuttgarterzeitung
baden-wuerttemberg	2011	11	20.11.2011	Emnid	emnid	Focus	focus
baden-wuerttemberg	2011	11	17.11.2011	Infratestdimap	infratestdimap	SWR, StuttgarterZeitung, Uni Stuttgart,Bertelsmann Stift.	swr_stuttgarterzeitung_unistuttgart_bertelsmannstift
baden-wuerttemberg	2011	8	18.08.2011	Infratestdimap	infratestdimap	SWR,Stuttgarter Zeitung	swr_stuttgarterzeitung
baden-wuerttemberg	2011	5	04.05.2011	Forsa	forsa	stern.de, RTL	sternde_rtl
baden-wuerttemberg	2011	3	25.03.2011	Emnid	emnid	Focus	focus
baden-wuerttemberg	2011	3	25.03.2011	YouGov	yougov	YouGov	yougov
baden-wuerttemberg	2011	3	24.03.2011	Forsa	forsa	stern.de, RTL	sternde_rtl
baden-wuerttemberg	2011	3	20.03.2011	Emnid	emnid	Focus	focus
baden-wuerttemberg	2011	3	18.03.2011	ForschungsgruppeWahlen	forschungsgruppewahlen	ZDF	zdf
